Price,Close,High,Low,Open,Volume
Ticker,014820.KS,014820.KS,014820.KS,014820.KS,014820.KS
Date,,,,,
2025-05-02,33050.0,33050.0,32200.0,32550.0,8717
2025-05-07,32450.0,33350.0,32000.0,33350.0,17056
2025-05-08,33150.0,33150.0,32300.0,32450.0,14579
2025-05-09,31800.0,33000.0,31750.0,32850.0,23619
2025-05-12,32250.0,32350.0,31800.0,32000.0,7776
2025-05-13,31150.0,32350.0,30950.0,32150.0,29296
2025-05-14,31550.0,31550.0,30600.0,30900.0,29541
2025-05-15,31200.0,31500.0,30900.0,31150.0,17082
2025-05-16,30500.0,31400.0,30400.0,31400.0,19885
2025-05-19,30100.0,30700.0,30050.0,30650.0,16815
2025-05-20,29850.0,30650.0,29650.0,30100.0,24385
