Price,Close,High,Low,Open,Volume
Ticker,373220.KS,373220.KS,373220.KS,373220.KS,373220.KS
Date,,,,,
2024-05-20,372000.0,379500.0,370000.0,379000.0,159484
2024-05-21,364500.0,370000.0,364000.0,367500.0,224181
2024-05-22,364000.0,369500.0,364000.0,366500.0,130152
2024-05-23,362000.0,366000.0,360000.0,364000.0,157841
2024-05-24,356000.0,359000.0,355500.0,358500.0,213011
2024-05-27,364500.0,366000.0,355500.0,357000.0,157232
2024-05-28,360000.0,363500.0,359000.0,363500.0,136480
2024-05-29,342000.0,361000.0,342000.0,356500.0,386788
2024-05-30,328000.0,343500.0,326000.0,342000.0,401661
2024-05-31,331000.0,335500.0,328000.0,331500.0,264516
2024-06-03,332000.0,341000.0,329500.0,330500.0,194056
2024-06-04,336500.0,340000.0,329000.0,329500.0,146087
2024-06-05,351500.0,359500.0,338000.0,339000.0,395864
2024-06-07,359000.0,360000.0,352500.0,355000.0,208870
2024-06-10,353000.0,358500.0,350000.0,355500.0,180618
2024-06-11,356500.0,365000.0,353000.0,354000.0,219013
2024-06-12,351500.0,361000.0,350500.0,356500.0,163853
2024-06-13,363000.0,363000.0,349000.0,356000.0,412793
2024-06-14,349000.0,363000.0,349000.0,363000.0,302758
2024-06-17,336500.0,346000.0,336500.0,345000.0,273382
2024-06-18,331000.0,343500.0,331000.0,340000.0,213956
2024-06-19,343000.0,344500.0,332000.0,332500.0,220974
2024-06-20,340000.0,346000.0,340000.0,343000.0,105297
2024-06-21,333000.0,343000.0,333000.0,338000.0,165513
2024-06-24,331000.0,336000.0,330500.0,334000.0,102798
2024-06-25,331000.0,336000.0,331000.0,334000.0,124542
2024-06-26,331000.0,338000.0,330000.0,330500.0,113087
2024-06-27,328000.0,334000.0,327500.0,331500.0,122751
2024-06-28,326500.0,331500.0,322500.0,327000.0,152685
2024-07-01,347000.0,348500.0,325500.0,328000.0,305328
2024-07-02,343500.0,362000.0,341500.0,353000.0,352020
2024-07-03,358000.0,369500.0,353000.0,360000.0,714015
2024-07-04,359000.0,367000.0,355500.0,364000.0,226816
2024-07-05,357500.0,361500.0,352000.0,359000.0,207422
2024-07-08,358500.0,364000.0,352500.0,358000.0,229191
2024-07-09,363000.0,370000.0,358000.0,359000.0,273777
2024-07-10,362000.0,367000.0,360500.0,363000.0,172607
2024-07-11,375000.0,375000.0,357500.0,364500.0,516468
2024-07-12,373000.0,375000.0,368500.0,371000.0,182104
2024-07-15,358500.0,373500.0,357500.0,373000.0,245160
2024-07-16,346500.0,360000.0,343000.0,359000.0,345755
2024-07-17,336500.0,348000.0,335500.0,346000.0,262255
2024-07-18,335000.0,342500.0,331500.0,333000.0,197622
2024-07-19,345500.0,347500.0,335000.0,335000.0,237970
2024-07-22,328500.0,343000.0,328000.0,343000.0,268882
2024-07-23,326000.0,333500.0,324000.0,330500.0,152694
2024-07-24,321500.0,330000.0,320000.0,324000.0,158027
2024-07-25,332500.0,342500.0,313000.0,315000.0,464700
2024-07-26,325000.0,334000.0,322500.0,332000.0,165067
2024-07-29,329500.0,333000.0,321500.0,323500.0,95268
2024-07-30,333000.0,342000.0,326000.0,326000.0,164442
2024-07-31,324000.0,335000.0,323000.0,334000.0,181873
2024-08-01,333500.0,337000.0,322000.0,325000.0,219837
2024-08-02,336000.0,337500.0,324000.0,326000.0,200803
2024-08-05,322000.0,340000.0,311000.0,332500.0,408563
2024-08-06,337000.0,342000.0,328000.0,331500.0,370935
2024-08-07,324500.0,338500.0,322500.0,332500.0,290231
2024-08-08,321000.0,325500.0,311000.0,324500.0,425356
2024-08-09,322000.0,329000.0,317000.0,323000.0,260609
2024-08-12,328500.0,330000.0,321000.0,321000.0,144514
2024-08-13,329500.0,331500.0,322000.0,325500.0,127711
2024-08-14,337000.0,342000.0,332000.0,334000.0,196856
2024-08-16,336500.0,344500.0,335500.0,343500.0,151534
2024-08-19,329500.0,336500.0,328000.0,336500.0,126345
2024-08-20,330000.0,334000.0,327000.0,333000.0,104179
2024-08-21,350000.0,353000.0,332000.0,333000.0,489967
2024-08-22,363000.0,364000.0,348500.0,351500.0,474976
2024-08-23,359000.0,366000.0,357000.0,359500.0,232206
2024-08-26,378000.0,378000.0,361500.0,365500.0,512014
2024-08-27,376500.0,383000.0,371500.0,378500.0,341089
2024-08-28,368500.0,379000.0,366500.0,375000.0,259901
2024-08-29,391000.0,394000.0,370000.0,371000.0,725018
2024-08-30,388000.0,391500.0,381500.0,391000.0,316463
2024-09-02,412000.0,416500.0,392000.0,392000.0,792620
2024-09-03,411000.0,419000.0,407000.0,416500.0,340713
2024-09-04,399500.0,410000.0,396500.0,399000.0,373803
2024-09-05,410000.0,418000.0,401000.0,410500.0,463032
2024-09-06,395000.0,412500.0,392500.0,412000.0,419682
2024-09-09,399500.0,404000.0,386000.0,388500.0,302125
2024-09-10,379500.0,400000.0,378000.0,398500.0,421418
2024-09-11,399000.0,402500.0,380500.0,380500.0,365687
2024-09-12,414000.0,414000.0,395000.0,403500.0,361481
2024-09-13,399500.0,414000.0,399500.0,413500.0,302530
2024-09-19,391500.0,409500.0,391000.0,405000.0,303860
2024-09-20,393500.0,407000.0,392500.0,398500.0,468352
2024-09-23,397000.0,402500.0,390500.0,397000.0,233849
2024-09-24,413000.0,413000.0,401000.0,401000.0,447420
2024-09-25,413500.0,420000.0,409000.0,415000.0,349449
2024-09-26,413500.0,415500.0,402500.0,410500.0,304509
2024-09-27,414500.0,418000.0,406500.0,413000.0,250953
2024-09-30,414500.0,430000.0,414500.0,419500.0,445787
2024-10-02,408500.0,421500.0,408500.0,409500.0,245424
2024-10-04,403500.0,406000.0,396000.0,403500.0,255155
2024-10-07,420000.0,426000.0,409000.0,413500.0,433698
2024-10-08,436500.0,444000.0,412000.0,416500.0,803706
2024-10-10,427000.0,433000.0,421000.0,432000.0,635669
2024-10-11,411000.0,428500.0,408500.0,426500.0,441897
2024-10-14,411000.0,413500.0,402500.0,407500.0,245480
2024-10-15,403500.0,409000.0,389500.0,407500.0,631127
2024-10-16,404500.0,415000.0,404500.0,415000.0,495248
2024-10-17,397000.0,411000.0,397000.0,403000.0,250437
2024-10-18,388500.0,399000.0,385000.0,396500.0,250780
2024-10-21,389500.0,393500.0,387500.0,389000.0,135508
